2011-11-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 374.4
2011-12-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 408.9
2012-01-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 395.5
2012-02-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 331.6
2012-03-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 298.3
2012-04-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 225.5
2012-05-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 166.6
2012-06-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 123.3
2012-07-01 12:00:00 0.8% exptime_sum = 1.2, observe_time_sum = 153.3
2012-08-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 217.6
2012-09-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 274.1
2012-10-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 341.7
2012-11-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 375.3
2012-12-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 409.1
2013-01-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 394.7
2013-02-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 319.8
2013-03-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 298.8
2013-04-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 226.1
2013-05-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 167.1
2013-06-01 12:00:00 2.5% exptime_sum = 3.0, observe_time_sum = 123.4
2013-07-01 12:00:00 0.9% exptime_sum = 1.4, observe_time_sum = 152.9
2013-08-01 12:00:00 0.3% exptime_sum = 0.6, observe_time_sum = 217.0
2013-09-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 273.6
2013-10-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 341.3
2013-11-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 375.0
2013-12-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 409.0
2014-01-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 395.0
2014-02-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 320.1
2014-03-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 299.3
2014-04-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 226.6
2014-05-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 167.6
2014-06-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 123.5
2014-07-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 152.5
2014-08-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 216.5
2014-09-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 273.2
2014-10-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 340.9
2014-11-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 374.7
2014-12-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 409.0
2015-01-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 395.2
2015-02-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 320.5
2015-03-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 299.8
2015-04-01 12:00:00 4.5% exptime_sum = 10.2, observe_time_sum = 227.1
2015-05-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 168.1
2015-06-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 123.5
2015-07-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 152.0
2015-08-01 12:00:00 8.5% exptime_sum = 18.2, observe_time_sum = 216.0
2015-09-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 272.7
2015-10-01 12:00:00 0.7% exptime_sum = 2.3, observe_time_sum = 340.5
2015-11-01 12:00:00 2.1% exptime_sum = 7.7, observe_time_sum = 374.4
2015-12-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 408.9
2016-01-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 395.5
2016-02-01 12:00:00 1.1% exptime_sum = 3.5, observe_time_sum = 331.5
2016-03-01 12:00:00 4.6% exptime_sum = 13.7, observe_time_sum = 298.3
2016-04-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 225.5
2016-05-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 166.6
2016-06-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 123.3
2016-07-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 153.3
2016-08-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 217.6
2016-09-01 12:00:00 0.0% exptime_sum = 0.0, observe_time_sum = 274.2
